axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11903050,0.00730,0,BIGAY MO NA PO PANGGATAS LANG,0.00730,0.00000,0
11886862,0.00791,2,Dob1doo,0.00791,0.00000,0
11891624,0.00920,4,dc:bob36#2630 | Axie Bob Shop,0.00920,0.00000,0
