axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
9062586,0.0090,2023-09-02,Little Owl,Early Bird,5,Axie Kiss,Dual Blade,Kingfisher,Post Fight,Bird,Bird,0x800000000618704008800948008020ca0843280400a0290208a0080208c4088c
8518914,0.0035,2023-08-19,Little Owl,Peace Maker,5,Axie Kiss,Dual Blade,Kingfisher,Post Fight,Bird,Bird,0x200000000629d02008812048008021420880110800a0280a08a2288a08c2308c
